Name,Field,Publication_Year,N_original_experimental_effects,N_successful,Replication_rate_%,Effect size decline,Relative_effect_size_%,Info URL,Paper / PDF URL,Description
Reproducibility Project: Psychology,Psychology,2015,100,36,36,50,50,,https://www.science.org/doi/10.1126/science.aac4716,"An open, large-scale, collaborative effort to systematically examine the rate and predictors of reproducibility in psychological science, involving 72 researchers from 41 institutions who replicated studies published in three prominent psychological journals in 2008. Main findings: 100 studies attempted; 36 successfully replicated (36% replication rate)."
Camerer et al. – Experimental Economics Replication Project,Economics,2016,18,11,61,34,66,,https://www.science.org/cms/asset/febfa588-66f1-493b-afb8-268e0aaeb6a9/pap.pdf,A collaborative initiative to replicate influential experimental economics studies published in <i>American Economic Review</i> and the <i>Quarterly Journal of Economics</i> between 2011-2014. Replication statistics: 18 studies attempted; 11 successfully replicated (61.1% replication rate). Key findings: a 61% replication rate with replicated effect sizes being 66% of the original effect sizes.
Camerer et al. – Nature/Science Social Science Replication Project,Social Science,2018,21,13,62,50,50,,https://pure.eur.nl/files/37359856/Camerer_et_al._2018_Evaluating_the_replicability_of_social_science_experiments_in_Nature_and_Science_between_2010_and_2015.pdf,"A large-scale replication effort examining the reproducibility of findings across various social science disciplines, including economics, sociology, and political science. Replication statistics: 21 studies attempted; 13 successfully replicated (61.9% replication rate). Key findings: 62% of replications found significant effects in the same direction as originals, though effect sizes averaged about 50% of the original effect sizes, emphasizing the importance of replication in social science research."
Examining Replicability of Online Experiments (Holzmeister et al.),Social Science,2025,26,14,54,55,45,,https://www.nature.com/articles/s41562-024-02062-9,"A replication study examining 26 online behavioral experiments, stratified by impact level. Replication statistics: 26 online experiments attempted. Key findings: Overall 54% replication rate with replication effects being approximately 45% of original effect sizes, revealing large disparities in replication success by impact tier, suggesting that higher-impact studies may face greater replication challenges."
Many Labs 1,Psychology,2014,13,10,77,,,,https://osf.io/wx7ck/files/ebmf8,"A large collaborative replication project involving 36 labs worldwide that tested 13 classic and contemporary psychological effects across multiple samples and settings. Replication statistics: 13 effects attempted; 10 successfully replicated (≈77% replication rate).Ten effects replicated consistently across sites, while three showed weak or no evidence for the original results. The study demonstrated that many psychological effects are robust across different contexts, though some depend strongly on experimental conditions or sample characteristics."
Many Labs 2,Psychology,2018,24,11,46,,,,https://journals.sagepub.com/doi/10.1177/2515245918810225,"An extension of Many Labs 1, this project aimed to replicate 28 findings across 125 labs and 36 countries to assess the generalizability of psychological effects. Replication statistics: 28 findings attempted; 14 successfully replicated (50% replication rate). Key findings: The replication rate was approximately 50%, indicating variability in the reproducibility of psychological effects and emphasizing the importance of context, culture, and methodological factors in replication success."
Experimental Philosophy – Reproducibility Project,Psychology,2018,40,28,70,,,,https://zenodo.org/records/14296259/files/fulltext.pdf?download=1,"A collaborative replication project in experimental philosophy (x-phi) that aimed to assess the reproducibility of findings at the intersection of philosophy and psychology. Replication statistics: Approximately 40 experiments attempted; specific replication rates varied by study. Key findings: The project demonstrated variability in replicability across experimental philosophy studies, with some effects replicating consistently while others did not, highlighting the need for rigorous replication in this interdisciplinary field."
Brazilian Reproducibility Initiative,Biomedical,2025,97,13,26,40,60,https://en.reprodutibilidade.bio.br/home,https://www.biorxiv.org/content/10.1101/2025.04.02.645026v4,"A multicentre initiative in Brazil to assess reproducibility of biomedical experiments run in Brazil (replicated papers needed at least 50% of authors to be based in Brazil). The initiative selected approximately 60 experiments from Brazilian published articles (including cell-viability assays, RT-PCR, and rodent elevated plus maze), with each experiment replicated in 3 laboratories. Replication statistics: 60 experiments attempted; replication success varied between 15% and 45% depending on criteria used. Key findings: Initial results show significant variability in replication success, with replication rates ranging from ~15% to ~45% depending on the specific criteria applied, highlighting challenges in reproducing biomedical research even within the same country's research context."
Reproducibility Project: Cancer Biology,Cancer biology/ oncology,2021,116,46-91,40-78,84,16,https://www.cos.io/rpcb,https://elifesciences.org/articles/71601,"The team replicated 50 experiments across 23 high-impact cancer biology papers. They originally set out to replicate 53 papers, but protocol problems, uncooperative authors and others factors forced them to scale back to just 23 papers. The project evaluated 158 reported effects across those papers and found that replication effect sizes were dramatically attenuated, with a median 85% reduction relative to the originals and 92% of replication effect sizes smaller than initially reported. Using five replication criteria applicable to both positive and null findings, only 40% of positive effects and 80% of null effects replicated, yielding an overall replication success rate of 46%. Using a less strict definition of replication (was there a statistically significant effect in the same direction?) the replication rate was 78%. "
#EEGManyLabs,Neuroscience,ONGOING,27,,TBD,,,https://eegmanylabs.org/,https://www.sciencedirect.com/science/article/pii/S0010945221001106?via%3Dihub#sec9,"An international multi-lab replication project focused on replicating 27 influential electroencephalography (EEG) studies across multiple laboratories. Replication statistics: 27 influential EEG studies attempted; replication rates varied by paradigm and analysis approach. Key findings: Results varied significantly by paradigm and analysis method, demonstrating that EEG findings are context-dependent and highlighting the importance of methodological transparency in neuroscience replication efforts."
Amgen's replication report,Cancer biology/ oncology,2012,6,53,11,,,,https://www.nature.com/articles/483531a,"Over the course of ten years, scientists in the haematology and oncology department of Amgen tried to confirm published findings in preclinical oncology that were related to their work. In a 2012 commentary in <i>Nature</i> they reported they could only reproduce 6/53 findings (11%). A finding was considered non-reproduced if the finding was ""not sufficiently robust to drive a drug-development program"". "
Bayer Healthcare's replication report,Cancer biology/ oncology,2011,67,33,~33,,,,https://www.nature.com/articles/nrd3439-c1,"""In a correspondence in <i>Nature Reviews Drug Discovery</i>, three researchers at Bayer Healthcare reported the results of a survey of 23 scientists in their oncology division. They found that across 67 replication attempts, only ""~20-25%"" yielded results that closely matched the published findings. They reported that 'In almost two-thirds of the projects, there were inconsistencies between published data and in-house data that either considerably prolonged the duration of the target validation process or, in most cases, resulted in termination of the projects because the evidence that was generated for the therapeutic hypothesis was insufficient to justify further investments into these projects.'"""
Boyce et al. – Student Replication Projects,Psychology,2023,176,86,49,54,46,,https://royalsocietypublishing.org/doi/10.1098/rsos.231240,"A dataset of 176 replications conducted by graduate students in a methods course over eleven years. Replication statistics: 176 replications attempted; 49% judged successful. Of the 136 replications where effect sizes could be numerically compared, only 46% had point estimates within the prediction interval of the original outcome (versus the expected 95%). Key findings: Larger original effect sizes and within-participants designs were associated with replication success, indicating low robustness in the psychology literature."
Motoki and Iseki – Sensory Marketing Replication,Psychology,2022,10,2,20,50,50,,https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2022.1048896/full,"A pre-registered replication of ten influential sensory marketing studies conducted online with non-WEIRD (non-Western) consumers in Japan. Replication statistics: 10 studies attempted; 2 successfully replicated (20% replication rate). Key findings: Effect sizes were approximately half of original values. Successful replications involved sound symbolism studies with within-participants designs and larger original sample sizes. No studies involving visual factors, between-participant manipulation, or interactions between factors could be replicated."
Soto – Life Outcomes of Personality Replication Project,Psychology,2019,78,68,87,23,77,,https://doi.org/10.1177/0956797619831612,"A preregistered, high-powered (median N = 1,504) replication of 78 previously published associations between Big Five personality traits and consequential life outcomes. Replication statistics: 78 trait-outcome associations attempted; 68 successfully replicated (87% replication rate). Key findings: 87% of replication attempts were statistically significant in the expected direction. Replication effect sizes were typically 77% as strong as the corresponding original effects, representing a significant but modest decline. Replicability of individual effects was predicted by the effect size and design of the original study, as well as the sample size and statistical power of the replication. These results indicate the personality-outcome literature provides a reasonably accurate map of trait-outcome associations."
Many Labs 5,Psychology,2020,10,1,10,78,22,https://osf.io/7a6rd/overview,https://doi.org/10.1177/2515245920958687,"A follow-up to the Reproducibility Project: Psychology (RP:P) that selected 10 RP:P replication studies for which original authors had expressed concerns about the replication designs. The team revised protocols with formal pre-data-collection peer review and re-ran replications across multiple laboratories (median 6.5 labs per study, median total sample 1,279.5). Key findings: revised protocols produced effect sizes similar to the original RP:P protocols (median r = .05 vs .04). The median effect size across all three replication attempts (r = .07) was 78% smaller than the original effect sizes (median r = .37), with only 1 of 10 studies yielding a statistically significant effect."
